horizon,milliseconds,frames,model,step,step_time_ms_at_60fps,samples,correct,accuracy
3000ms,3000,180,xgboost,131,2183.3333333333335,1664,269,0.16165865384615385
3000ms,3000,180,xgboost,132,2200.0,1664,263,0.1580528846153846
3000ms,3000,180,xgboost,133,2216.6666666666665,1664,264,0.15865384615384615
3000ms,3000,180,xgboost,134,2233.3333333333335,1664,262,0.15745192307692307
3000ms,3000,180,xgboost,135,2250.0,1664,275,0.16526442307692307
3000ms,3000,180,xgboost,136,2266.6666666666665,1664,284,0.17067307692307693
3000ms,3000,180,xgboost,137,2283.3333333333335,1664,290,0.17427884615384615
3000ms,3000,180,xgboost,138,2300.0,1664,293,0.17608173076923078
3000ms,3000,180,xgboost,139,2316.6666666666665,1664,297,0.17848557692307693
3000ms,3000,180,xgboost,140,2333.3333333333335,1664,304,0.18269230769230768
3000ms,3000,180,xgboost,141,2350.0,1664,310,0.18629807692307693
3000ms,3000,180,xgboost,142,2366.6666666666665,1664,316,0.18990384615384615
3000ms,3000,180,xgboost,143,2383.3333333333335,1664,314,0.18870192307692307
3000ms,3000,180,xgboost,144,2400.0,1664,311,0.18689903846153846
3000ms,3000,180,xgboost,145,2416.6666666666665,1664,309,0.1856971153846154
3000ms,3000,180,xgboost,146,2433.3333333333335,1664,302,0.1814903846153846
3000ms,3000,180,xgboost,147,2450.0,1664,290,0.17427884615384615
3000ms,3000,180,xgboost,148,2466.6666666666665,1664,282,0.16947115384615385
3000ms,3000,180,xgboost,149,2483.3333333333335,1664,279,0.16766826923076922
3000ms,3000,180,xgboost,150,2500.0,1664,278,0.16706730769230768
3000ms,3000,180,xgboost,151,2516.6666666666665,1664,278,0.16706730769230768
3000ms,3000,180,xgboost,152,2533.3333333333335,1666,279,0.1674669867947179
3000ms,3000,180,xgboost,153,2550.0,1668,276,0.16546762589928057
3000ms,3000,180,xgboost,154,2566.6666666666665,1670,273,0.16347305389221556
3000ms,3000,180,xgboost,155,2583.3333333333335,1672,270,0.16148325358851676
3000ms,3000,180,xgboost,156,2600.0,1674,261,0.15591397849462366
3000ms,3000,180,xgboost,157,2616.6666666666665,1676,255,0.15214797136038186
3000ms,3000,180,xgboost,158,2633.3333333333335,1678,248,0.14779499404052443
3000ms,3000,180,xgboost,159,2650.0,1680,248,0.14761904761904762
3000ms,3000,180,xgboost,160,2666.6666666666665,1682,251,0.1492271105826397
3000ms,3000,180,xgboost,161,2683.3333333333335,1684,264,0.15676959619952494
3000ms,3000,180,xgboost,162,2700.0,1686,270,0.1601423487544484
3000ms,3000,180,xgboost,163,2716.6666666666665,1688,274,0.1623222748815166
3000ms,3000,180,xgboost,164,2733.3333333333335,1690,278,0.16449704142011834
3000ms,3000,180,xgboost,165,2750.0,1692,286,0.1690307328605201
3000ms,3000,180,xgboost,166,2766.6666666666665,1694,290,0.17119244391971664
3000ms,3000,180,xgboost,167,2783.3333333333335,1696,288,0.16981132075471697
3000ms,3000,180,xgboost,168,2800.0,1698,296,0.17432273262661954
3000ms,3000,180,xgboost,169,2816.6666666666665,1700,301,0.17705882352941177
3000ms,3000,180,xgboost,170,2833.3333333333335,1702,312,0.18331374853113983
3000ms,3000,180,xgboost,171,2850.0,1704,319,0.18720657276995306
3000ms,3000,180,xgboost,172,2866.6666666666665,1706,316,0.18522860492379836
3000ms,3000,180,xgboost,173,2883.3333333333335,1708,315,0.18442622950819673
3000ms,3000,180,xgboost,174,2900.0,1710,316,0.1847953216374269
3000ms,3000,180,xgboost,175,2916.6666666666665,1712,316,0.18457943925233644
3000ms,3000,180,xgboost,176,2933.3333333333335,1714,308,0.17969661610268378
3000ms,3000,180,xgboost,177,2950.0,1716,298,0.17365967365967366
3000ms,3000,180,xgboost,178,2966.6666666666665,1718,291,0.16938300349243307
3000ms,3000,180,xgboost,179,2983.3333333333335,1720,283,0.16453488372093023
3000ms,3000,180,xgboost,180,3000.0,1722,279,0.16202090592334495
3000ms,3000,180,fep,1,16.666666666666668,1721,714,0.4148750726321906
3000ms,3000,180,fep,2,33.333333333333336,1720,719,0.4180232558139535
3000ms,3000,180,fep,3,50.0,1719,726,0.4223385689354276
3000ms,3000,180,fep,4,66.66666666666667,1718,732,0.42607683352735737
3000ms,3000,180,fep,5,83.33333333333333,1717,738,0.42981945253348863
3000ms,3000,180,fep,6,100.0,1716,744,0.43356643356643354
3000ms,3000,180,fep,7,116.66666666666667,1715,750,0.43731778425655976
3000ms,3000,180,fep,8,133.33333333333334,1714,754,0.43990665110851807
3000ms,3000,180,fep,9,150.0,1713,758,0.44249854057209576
3000ms,3000,180,fep,10,166.66666666666666,1712,761,0.4445093457943925
3000ms,3000,180,fep,11,183.33333333333334,1711,764,0.4465225014611338
3000ms,3000,180,fep,12,200.0,1710,768,0.44912280701754387
3000ms,3000,180,fep,13,216.66666666666666,1709,772,0.4517261556465769
3000ms,3000,180,fep,14,233.33333333333334,1708,778,0.45550351288056207
3000ms,3000,180,fep,15,250.0,1707,783,0.45869947275922673
3000ms,3000,180,fep,16,266.6666666666667,1706,789,0.46248534583821804
3000ms,3000,180,fep,17,283.3333333333333,1705,794,0.4656891495601173
3000ms,3000,180,fep,18,300.0,1704,796,0.4671361502347418
3000ms,3000,180,fep,19,316.6666666666667,1703,799,0.46917204932472106
3000ms,3000,180,fep,20,333.3333333333333,1702,801,0.4706227967097532
3000ms,3000,180,fep,21,350.0,1701,805,0.4732510288065844
3000ms,3000,180,fep,22,366.6666666666667,1700,811,0.47705882352941176
3000ms,3000,180,fep,23,383.3333333333333,1699,813,0.4785167745732784
3000ms,3000,180,fep,24,400.0,1698,814,0.4793875147232038
3000ms,3000,180,fep,25,416.6666666666667,1697,812,0.47849145550972305
3000ms,3000,180,fep,26,433.3333333333333,1696,810,0.47759433962264153
3000ms,3000,180,fep,27,450.0,1695,809,0.4772861356932153
3000ms,3000,180,fep,28,466.6666666666667,1694,809,0.47756788665879574
3000ms,3000,180,fep,29,483.3333333333333,1694,809,0.47756788665879574
3000ms,3000,180,fep,30,500.0,1695,810,0.4778761061946903
3000ms,3000,180,fep,31,516.6666666666666,1696,810,0.47759433962264153
3000ms,3000,180,fep,32,533.3333333333334,1697,812,0.47849145550972305
3000ms,3000,180,fep,33,550.0,1698,811,0.47762073027090696
3000ms,3000,180,fep,34,566.6666666666666,1698,810,0.47703180212014135
3000ms,3000,180,fep,35,583.3333333333334,1698,807,0.4752650176678445
3000ms,3000,180,fep,36,600.0,1697,801,0.47200942840306426
3000ms,3000,180,fep,37,616.6666666666666,1696,795,0.46875
3000ms,3000,180,fep,38,633.3333333333334,1695,788,0.4648967551622419
3000ms,3000,180,fep,39,650.0,1694,783,0.46221959858323497
3000ms,3000,180,fep,40,666.6666666666666,1693,780,0.4607206142941524
3000ms,3000,180,fep,41,683.3333333333334,1692,775,0.4580378250591017
3000ms,3000,180,fep,42,700.0,1691,769,0.4547604967474867
3000ms,3000,180,fep,43,716.6666666666666,1690,762,0.450887573964497
3000ms,3000,180,fep,44,733.3333333333334,1689,755,0.44701006512729424
3000ms,3000,180,fep,45,750.0,1688,747,0.4425355450236967
3000ms,3000,180,fep,46,766.6666666666666,1687,737,0.43687018375815057
3000ms,3000,180,fep,47,783.3333333333334,1686,728,0.431791221826809
3000ms,3000,180,fep,48,800.0,1685,718,0.4261127596439169
3000ms,3000,180,fep,49,816.6666666666666,1684,708,0.42042755344418054
3000ms,3000,180,fep,50,833.3333333333334,1683,696,0.41354723707664887
3000ms,3000,180,fep,51,850.0,1682,683,0.406064209274673
3000ms,3000,180,fep,52,866.6666666666666,1681,671,0.39916716240333133
3000ms,3000,180,fep,53,883.3333333333334,1680,661,0.39345238095238094
3000ms,3000,180,fep,54,900.0,1679,650,0.38713519952352593
3000ms,3000,180,fep,55,916.6666666666666,1678,641,0.38200238379022644
3000ms,3000,180,fep,56,933.3333333333334,1677,632,0.3768634466308885
3000ms,3000,180,fep,57,950.0,1676,624,0.3723150357995227
3000ms,3000,180,fep,58,966.6666666666666,1674,616,0.36798088410991636
3000ms,3000,180,fep,59,983.3333333333334,1672,607,0.3630382775119617
3000ms,3000,180,fep,60,1000.0,1670,599,0.3586826347305389
3000ms,3000,180,fep,61,1016.6666666666666,1668,591,0.35431654676258995
3000ms,3000,180,fep,62,1033.3333333333333,1666,584,0.3505402160864346
3000ms,3000,180,fep,63,1050.0,1665,576,0.34594594594594597
3000ms,3000,180,fep,64,1066.6666666666667,1664,570,0.3425480769230769
3000ms,3000,180,fep,65,1083.3333333333333,1664,563,0.33834134615384615
3000ms,3000,180,fep,66,1100.0,1664,557,0.3347355769230769
3000ms,3000,180,fep,67,1116.6666666666667,1664,553,0.3323317307692308
3000ms,3000,180,fep,68,1133.3333333333333,1664,551,0.3311298076923077
3000ms,3000,180,fep,69,1150.0,1664,551,0.3311298076923077
3000ms,3000,180,fep,70,1166.6666666666667,1664,550,0.33052884615384615
3000ms,3000,180,fep,71,1183.3333333333333,1664,547,0.32872596153846156
3000ms,3000,180,fep,72,1200.0,1664,544,0.3269230769230769
3000ms,3000,180,fep,73,1216.6666666666667,1664,541,0.3251201923076923
3000ms,3000,180,fep,74,1233.3333333333333,1664,538,0.3233173076923077
3000ms,3000,180,fep,75,1250.0,1664,535,0.3215144230769231
3000ms,3000,180,fep,76,1266.6666666666667,1664,534,0.32091346153846156
3000ms,3000,180,fep,77,1283.3333333333333,1664,536,0.32211538461538464
3000ms,3000,180,fep,78,1300.0,1664,539,0.3239182692307692
3000ms,3000,180,fep,79,1316.6666666666667,1664,542,0.32572115384615385
3000ms,3000,180,fep,80,1333.3333333333333,1664,545,0.32752403846153844
3000ms,3000,180,fep,81,1350.0,1664,547,0.32872596153846156
3000ms,3000,180,fep,82,1366.6666666666667,1664,552,0.3317307692307692
3000ms,3000,180,fep,83,1383.3333333333333,1664,559,0.3359375
3000ms,3000,180,fep,84,1400.0,1664,566,0.3401442307692308
3000ms,3000,180,fep,85,1416.6666666666667,1664,573,0.34435096153846156
3000ms,3000,180,fep,86,1433.3333333333333,1664,578,0.3473557692307692
3000ms,3000,180,fep,87,1450.0,1664,583,0.3503605769230769
3000ms,3000,180,fep,88,1466.6666666666667,1664,587,0.3527644230769231
3000ms,3000,180,fep,89,1483.3333333333333,1664,590,0.3545673076923077
3000ms,3000,180,fep,90,1500.0,1664,593,0.3563701923076923
3000ms,3000,180,fep,91,1516.6666666666667,1664,592,0.3557692307692308
3000ms,3000,180,fep,92,1533.3333333333333,1664,593,0.3563701923076923
3000ms,3000,180,fep,93,1550.0,1664,596,0.3581730769230769
3000ms,3000,180,fep,94,1566.6666666666667,1664,599,0.35997596153846156
3000ms,3000,180,fep,95,1583.3333333333333,1664,600,0.3605769230769231
3000ms,3000,180,fep,96,1600.0,1664,600,0.3605769230769231
3000ms,3000,180,fep,97,1616.6666666666667,1664,598,0.359375
3000ms,3000,180,fep,98,1633.3333333333333,1664,597,0.35877403846153844
3000ms,3000,180,fep,99,1650.0,1664,594,0.35697115384615385
3000ms,3000,180,fep,100,1666.6666666666667,1664,593,0.3563701923076923
3000ms,3000,180,fep,101,1683.3333333333333,1664,593,0.3563701923076923
3000ms,3000,180,fep,102,1700.0,1664,593,0.3563701923076923
3000ms,3000,180,fep,103,1716.6666666666667,1664,593,0.3563701923076923
3000ms,3000,180,fep,104,1733.3333333333333,1664,592,0.3557692307692308
3000ms,3000,180,fep,105,1750.0,1664,591,0.3551682692307692
3000ms,3000,180,fep,106,1766.6666666666667,1664,591,0.3551682692307692
3000ms,3000,180,fep,107,1783.3333333333333,1664,591,0.3551682692307692
3000ms,3000,180,fep,108,1800.0,1664,592,0.3557692307692308
3000ms,3000,180,fep,109,1816.6666666666667,1664,591,0.3551682692307692
3000ms,3000,180,fep,110,1833.3333333333333,1664,589,0.35396634615384615
3000ms,3000,180,fep,111,1850.0,1664,589,0.35396634615384615
3000ms,3000,180,fep,112,1866.6666666666667,1664,588,0.35336538461538464
3000ms,3000,180,fep,113,1883.3333333333333,1664,585,0.3515625
3000ms,3000,180,fep,114,1900.0,1664,582,0.34975961538461536
3000ms,3000,180,fep,115,1916.6666666666667,1664,578,0.3473557692307692
3000ms,3000,180,fep,116,1933.3333333333333,1664,574,0.3449519230769231
3000ms,3000,180,fep,117,1950.0,1664,572,0.34375
3000ms,3000,180,fep,118,1966.6666666666667,1664,570,0.3425480769230769
3000ms,3000,180,fep,119,1983.3333333333333,1664,568,0.34134615384615385
3000ms,3000,180,fep,120,2000.0,1664,566,0.3401442307692308
3000ms,3000,180,fep,121,2016.6666666666667,1664,565,0.3395432692307692
3000ms,3000,180,fep,122,2033.3333333333333,1664,563,0.33834134615384615
3000ms,3000,180,fep,123,2050.0,1664,561,0.3371394230769231
3000ms,3000,180,fep,124,2066.6666666666665,1664,560,0.33653846153846156
3000ms,3000,180,fep,125,2083.3333333333335,1664,559,0.3359375
3000ms,3000,180,fep,126,2100.0,1664,560,0.33653846153846156
3000ms,3000,180,fep,127,2116.6666666666665,1664,563,0.33834134615384615
3000ms,3000,180,fep,128,2133.3333333333335,1664,565,0.3395432692307692
3000ms,3000,180,fep,129,2150.0,1664,566,0.3401442307692308
3000ms,3000,180,fep,130,2166.6666666666665,1664,566,0.3401442307692308
3000ms,3000,180,fep,131,2183.3333333333335,1664,569,0.34194711538461536
3000ms,3000,180,fep,132,2200.0,1664,572,0.34375
3000ms,3000,180,fep,133,2216.6666666666665,1664,575,0.34555288461538464
3000ms,3000,180,fep,134,2233.3333333333335,1664,577,0.3467548076923077
3000ms,3000,180,fep,135,2250.0,1664,578,0.3473557692307692
3000ms,3000,180,fep,136,2266.6666666666665,1664,579,0.3479567307692308
3000ms,3000,180,fep,137,2283.3333333333335,1664,581,0.34915865384615385
3000ms,3000,180,fep,138,2300.0,1664,581,0.34915865384615385
3000ms,3000,180,fep,139,2316.6666666666665,1664,580,0.3485576923076923
3000ms,3000,180,fep,140,2333.3333333333335,1664,579,0.3479567307692308
3000ms,3000,180,fep,141,2350.0,1664,577,0.3467548076923077
3000ms,3000,180,fep,142,2366.6666666666665,1664,576,0.34615384615384615
3000ms,3000,180,fep,143,2383.3333333333335,1664,574,0.3449519230769231
3000ms,3000,180,fep,144,2400.0,1664,575,0.34555288461538464
3000ms,3000,180,fep,145,2416.6666666666665,1664,574,0.3449519230769231
3000ms,3000,180,fep,146,2433.3333333333335,1664,571,0.34314903846153844
3000ms,3000,180,fep,147,2450.0,1664,577,0.3467548076923077
3000ms,3000,180,fep,148,2466.6666666666665,1664,579,0.3479567307692308
3000ms,3000,180,fep,149,2483.3333333333335,1664,579,0.3479567307692308
3000ms,3000,180,fep,150,2500.0,1664,578,0.3473557692307692
3000ms,3000,180,fep,151,2516.6666666666665,1664,579,0.3479567307692308
3000ms,3000,180,fep,152,2533.3333333333335,1666,582,0.34933973589435774
3000ms,3000,180,fep,153,2550.0,1668,585,0.35071942446043164
3000ms,3000,180,fep,154,2566.6666666666665,1670,588,0.3520958083832335
3000ms,3000,180,fep,155,2583.3333333333335,1672,591,0.3534688995215311
3000ms,3000,180,fep,156,2600.0,1674,596,0.35603345280764637
3000ms,3000,180,fep,157,2616.6666666666665,1676,602,0.35918854415274465
3000ms,3000,180,fep,158,2633.3333333333335,1678,610,0.3635280095351609
3000ms,3000,180,fep,159,2650.0,1680,618,0.3678571428571429
3000ms,3000,180,fep,160,2666.6666666666665,1682,626,0.37217598097502974
3000ms,3000,180,fep,161,2683.3333333333335,1684,634,0.37648456057007124
3000ms,3000,180,fep,162,2700.0,1686,643,0.38137603795966785
3000ms,3000,180,fep,163,2716.6666666666665,1688,654,0.38744075829383884
3000ms,3000,180,fep,164,2733.3333333333335,1690,665,0.39349112426035504
3000ms,3000,180,fep,165,2750.0,1692,674,0.3983451536643026
3000ms,3000,180,fep,166,2766.6666666666665,1694,688,0.40613931523022434
3000ms,3000,180,fep,167,2783.3333333333335,1696,703,0.41450471698113206
3000ms,3000,180,fep,168,2800.0,1698,716,0.4216725559481743
3000ms,3000,180,fep,169,2816.6666666666665,1700,729,0.4288235294117647
3000ms,3000,180,fep,170,2833.3333333333335,1702,742,0.43595769682726204
3000ms,3000,180,fep,171,2850.0,1704,753,0.44190140845070425
3000ms,3000,180,fep,172,2866.6666666666665,1706,764,0.447831184056272
3000ms,3000,180,fep,173,2883.3333333333335,1708,773,0.452576112412178
3000ms,3000,180,fep,174,2900.0,1710,780,0.45614035087719296
3000ms,3000,180,fep,175,2916.6666666666665,1712,786,0.4591121495327103
3000ms,3000,180,fep,176,2933.3333333333335,1714,790,0.46091015169194866
3000ms,3000,180,fep,177,2950.0,1716,795,0.4632867132867133
3000ms,3000,180,fep,178,2966.6666666666665,1718,798,0.46449359720605354
3000ms,3000,180,fep,179,2983.3333333333335,1720,801,0.46569767441860466
3000ms,3000,180,fep,180,3000.0,1722,803,0.46631823461091754
