horizon,milliseconds,frames,model,step,step_time_ms_at_60fps,samples,correct,accuracy
2000ms,2000,120,fep,32,533.3333333333334,3050,1291,0.42327868852459016
2000ms,2000,120,fep,33,550.0,3051,1290,0.42281219272369713
2000ms,2000,120,fep,34,566.6666666666666,3052,1293,0.42365661861074705
2000ms,2000,120,fep,35,583.3333333333334,3053,1292,0.4231903046184081
2000ms,2000,120,fep,36,600.0,3054,1287,0.4214145383104126
2000ms,2000,120,fep,37,616.6666666666666,3055,1279,0.418657937806874
2000ms,2000,120,fep,38,633.3333333333334,3056,1268,0.41492146596858637
2000ms,2000,120,fep,39,650.0,3057,1258,0.41151455675498855
2000ms,2000,120,fep,40,666.6666666666666,3058,1250,0.40876389797253104
2000ms,2000,120,fep,41,683.3333333333334,3059,1240,0.4053612291598562
2000ms,2000,120,fep,42,700.0,3060,1229,0.4016339869281046
2000ms,2000,120,fep,43,716.6666666666666,3061,1218,0.3979091800065338
2000ms,2000,120,fep,44,733.3333333333334,3062,1206,0.39386022207707383
2000ms,2000,120,fep,45,750.0,3063,1194,0.38981390793339865
2000ms,2000,120,fep,46,766.6666666666666,3064,1182,0.3857702349869452
2000ms,2000,120,fep,47,783.3333333333334,3065,1172,0.38238172920065255
2000ms,2000,120,fep,48,800.0,3066,1163,0.3793215916503588
2000ms,2000,120,fep,49,816.6666666666666,3067,1157,0.3772416041734594
2000ms,2000,120,fep,50,833.3333333333334,3068,1152,0.3754889178617992
2000ms,2000,120,fep,51,850.0,3069,1145,0.3730856956663408
2000ms,2000,120,fep,52,866.6666666666666,3070,1137,0.37035830618892507
2000ms,2000,120,fep,53,883.3333333333334,3071,1129,0.3676326929338978
2000ms,2000,120,fep,54,900.0,3072,1117,0.3636067708333333
2000ms,2000,120,fep,55,916.6666666666666,3073,1106,0.35990888382687924
2000ms,2000,120,fep,56,933.3333333333334,3074,1095,0.35621340273259594
2000ms,2000,120,fep,57,950.0,3075,1087,0.3534959349593496
2000ms,2000,120,fep,58,966.6666666666666,3075,1082,0.351869918699187
2000ms,2000,120,fep,59,983.3333333333334,3075,1080,0.35121951219512193
2000ms,2000,120,fep,60,1000.0,3075,1080,0.35121951219512193
2000ms,2000,120,fep,61,1016.6666666666666,3075,1078,0.3505691056910569
2000ms,2000,120,fep,62,1033.3333333333333,3075,1076,0.34991869918699187
2000ms,2000,120,fep,63,1050.0,3075,1073,0.3489430894308943
2000ms,2000,120,fep,64,1066.6666666666667,3075,1071,0.34829268292682924
