horizon,milliseconds,frames,mode,model,test_samples,assumed_current_action_accuracy,dominant_predicted_class,dominant_predicted_class_share,accuracy,top2_accuracy,macro_f1,log_loss,changed_action_samples,changed_action_accuracy,unchanged_action_samples,unchanged_action_accuracy
50ms,50,3,observed_every_frame,xgboost,6583,1.0,Attack,0.3993619930123044,0.8790824851891235,0.966580586358803,0.8347022783047893,0.3320943484394786,1116,0.4345878136200717,5467,0.9698189134808853
50ms,50,3,observed_every_frame,fep,6583,1.0,Attack,0.3978429287558864,0.5565851435515722,0.7703174844295914,0.3645807805223333,1.1301265746032991,1116,0.18189964157706093,5467,0.6330711541979147
50ms,50,3,recursive_until_recovery,xgboost,6583,0.48154336928452074,Wait,0.43247759380221784,0.4772899893665502,0.7180616740088106,0.46263709799503483,1.8349751144345572,1116,0.30197132616487454,5467,0.5130784708249497
50ms,50,3,recursive_until_recovery,fep,6583,0.07139602005164819,Approach,1.0,0.05681300319003494,0.45875740543825005,0.02150352163288774,1.7185584919677703,1116,0.11290322580645161,5467,0.04536308761660875
