actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,1194,0
Approach,0,0,0,362,0
Retreat,0,0,0,1330,0
Attack,0,0,0,2634,0
Guard,0,0,0,964,0
