actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,1007,0
Approach,0,0,0,237,0
Retreat,0,0,0,1325,0
Attack,0,0,0,2555,0
Guard,0,0,0,964,0
