actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,762,0
Approach,0,0,0,137,0
Retreat,0,0,0,1088,0
Attack,0,0,0,1917,0
Guard,0,0,0,930,0
