actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,1071,0
Approach,0,0,0,323,0
Retreat,0,0,0,1330,0
Attack,0,0,0,2598,0
Guard,0,0,0,964,0
