actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,0,396
Approach,0,0,0,0,46
Retreat,0,0,0,0,543
Attack,0,0,0,0,1328
Guard,0,0,0,0,901
