actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,1269,0
Approach,0,0,0,374,0
Retreat,0,0,0,1330,0
Attack,0,0,0,2646,0
Guard,0,0,0,964,0
