actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,904,0
Approach,0,0,0,161,0
Retreat,0,0,0,1302,0
Attack,0,0,0,2393,0
Guard,0,0,0,936,0
