actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,411,351,0
Approach,0,0,102,35,0
Retreat,0,0,592,496,0
Attack,0,0,1005,912,0
Guard,0,0,641,289,0
