actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,396,0
Approach,0,0,0,46,0
Retreat,0,0,0,543,0
Attack,0,0,0,1328,0
Guard,0,0,0,901,0
