actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,288,616,0
Approach,0,0,43,118,0
Retreat,0,0,430,872,0
Attack,0,0,137,2256,0
Guard,0,0,332,604,0
