actual/predicted,Wait,Approach,Retreat,Attack,Guard
Wait,0,0,0,948,246
Approach,0,0,0,317,45
Retreat,0,0,0,341,989
Attack,0,0,0,2556,78
Guard,0,0,0,57,907
